"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20164,"Not Significant","0.00932842808247683","Not Significant","0.00745079804038249","Not Significant","Not Significant","Not Significant","Not Significant","0.0142668950868364","Not Significant","Not Significant","Not Significant","Not Significant","0.00953252395938027","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.010889174958265","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20194,"Not Significant","Not Significant","Not Significant","0.0121437932355173","Not Significant","Not Significant","Not Significant","Not Significant","0.0195365186702638","Not Significant","Not Significant","Not Significant","Not Significant","0.0155097513737544","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0272692285373482","0.00628586807639376","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20074,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0358025922423199","Not Significant","Not Significant","0.0323034678162085","Not Significant","Not Significant","Not Significant","Not Significant","-0.0391336505451647","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20124,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0295511492462271","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00951581607490835","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0264238962665204","Not Significant","Not Significant","Not Significant","Not Significant"
20174,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0112264673533184","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0109431043162286","Not Significant","Not Significant"
20184,"Not Significant","0.0238800832574333","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0105420936337667","Not Significant","Not Significant","Not Significant","Not Significant","0.0162608494303833","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00969678589768666","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20075,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0221887177180358","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0307121110097954","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20085,"-0.0402600006870163","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20095,"Not Significant","0.0211440675945552","Not Significant","Not Significant","-0.0104088735695267","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00932708130094933","Not Significant","Not Significant","0.0225208941971562","Not Significant","Not Significant","Not Significant","Not Significant","-0.0092128089932997","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00766616448182701","Not Significant","Not Significant","Not Significant"
20125,"Not Significant","Not Significant","Not Significant","-0.0145763507339752","Not Significant","Not Significant","Not Significant","Not Significant","0.0156215837289165","Not Significant","-0.00494668747731655","Not Significant","Not Significant","0.0440943652463179","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0115680167465667","Not Significant","Not Significant"
20135,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0219380029544762","Not Significant","Not Significant","Not Significant","-0.010866609316997","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00943833418536093"
20145,"-0.0096152555266141","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0147895440619221","Not Significant","Not Significant","Not Significant","-0.0255045418455388","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.01281596919365","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20155,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0229033654138474","Not Significant","Not Significant","Not Significant","0.0187679688905615","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20175,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0084891752395733","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0100322830819331","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
